Company Name,Office Address,Google Maps Link,Website,Careers Page,HR/Recruitment Email,Phone Number,LinkedIn Company Page,Industry,Company Size (approx.),Fresher Friendly Score (1-10, est.),AI/ML Friendly Score (1-10, est.),Remote,Hybrid,Internship,Last Verified,Source URL
smartData Enterprises,"Plot No. I-23, IT City, Sector-83 Alpha, SAS Nagar, Mohali, Punjab 140306",https://www.google.com/maps/search/?api=1&query=Plot+I-23+IT+City+Sector+83+Alpha+SAS+Nagar+Mohali,https://www.smartdatainc.com/,https://www.smartdatainc.com/careers/,Not published - use careers page form,Not published,https://in.linkedin.com/company/smartdata-enterprises,IT Services / Custom Software / Healthcare-Fintech AI,1000-5000 (multiple India locations),8,7,Yes,Yes,Yes,2026-06-11,https://www.glassdoor.co.in/Reviews/smartData-Enterprises-Mohali-Reviews-EI_IE508375.0,21_IL.22,28_IC4469455.htm
Suffescom Solutions Inc,"D-256, 3rd Floor, Phase 8A, Industrial Area, Mohali, Punjab 160055",https://www.google.com/maps/search/?api=1&query=D-256+3rd+Floor+Phase+8A+Industrial+Area+Mohali,Not confirmed - search "Suffescom Solutions",Not confirmed,Not published,Not published,Not confirmed - search linkedin.com/company/suffescom-solutions,Blockchain / Web3 / App Development,200-500,6,5,Yes,Yes,Not confirmed,2026-06-11,https://www.justdial.com/Mohali/Suffescom-Solutions-Inc/0172PX172-X172-230804170603-J2K6_BZDET
Growth Natives,"Mohali, Punjab (recently relocated office; exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=Growth+Natives+Mohali,https://growthnatives.com/,https://growthnatives.com/careers (verify path),Not published,Not published,Not confirmed - search linkedin.com/company/growth-natives,Digital Marketing / AI-driven Growth,200-500,6,6,Yes,Yes,Not confirmed,2026-06-11,https://growthnatives.com/blogs/press-release/growth-natives-expands-horizons-with-a-sparkling-new-office-space/
CrossML Pvt Ltd,"Industrial Area Phase 1, Chandigarh (opp. Hyatt Regency)",https://www.google.com/maps/search/?api=1&query=CrossML+Industrial+Area+Phase+1+Chandigarh+opposite+Hyatt+Regency,https://www.crossml.com/,https://www.crossml.com/contact-us/,Not published - use contact form,Not published,Not confirmed - search linkedin.com/company/crossml,AI/ML Consulting & Development,50-200,7,9,Yes,Yes,Not confirmed,2026-06-11,https://www.crossml.com/contact-us/
Softleoai,"Mohali, Punjab (exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=Softleoai+Mohali,Not confirmed - search "Softleoai",Not confirmed,Not published,Not published,Not confirmed,Custom Software / AI / ML Solutions,11-50,6,8,Yes,Yes,Not confirmed,2026-06-11,https://www.designrush.com/agency/ai-companies/in/mohali
MoogleLabs,"Mohali, Punjab (also has Ontario, Canada office; exact India address not confirmed)",https://www.google.com/maps/search/?api=1&query=MoogleLabs+Mohali,Not confirmed - search "MoogleLabs",Not confirmed,Not published,Not published,Not confirmed - search linkedin.com/company/mooglelabs,AI / Blockchain / ML / DevOps Consulting,50-200,6,8,Yes,Yes,Not confirmed,2026-06-11,https://www.designrush.com/agency/ai-companies/in/mohali
Apptunix,"Mohali, Punjab (global offices in US/UK/UAE; exact India address not confirmed)",https://www.google.com/maps/search/?api=1&query=Apptunix+Mohali,Not confirmed - search "Apptunix",Not confirmed,Not published,Not published,Not confirmed - search linkedin.com/company/apptunix,AI-Powered Product Engineering,200-500,6,7,Yes,Yes,Not confirmed,2026-06-11,https://www.designrush.com/agency/ai-companies/in/mohali
Fusion Informatics,"Chandigarh (HQ Ahmedabad; exact Chandigarh address not confirmed)",https://www.google.com/maps/search/?api=1&query=Fusion+Informatics+Chandigarh,https://www.fusioninformatics.com/,Not confirmed - use contact form,Not published,Not published,Not confirmed - search linkedin.com/company/fusion-informatics,AI / Mobile App Development,200-500,5,7,Yes,Yes,Not confirmed,2026-06-11,https://www.fusioninformatics.com/top-artificial-intelligence-development-company-in-ludhiana-chandigarh.html
Webtunix AI,"Chandigarh (exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=Webtunix+AI+Chandigarh,https://www.webtunix.com/,Not confirmed - use contact form,Not published,Not published,Not confirmed - search linkedin.com/company/webtunix,AI / Data Science Consulting,11-50,6,8,Yes,Yes,Not confirmed,2026-06-11,https://www.webtunix.com/
Tech Mahindra,"Quark City / IT Park area, Mohali-Chandigarh (large multi-site employer; exact unit address not confirmed)",https://www.google.com/maps/search/?api=1&query=Tech+Mahindra+Mohali+Chandigarh,https://www.techmahindra.com/,https://careers.techmahindra.com/,Not published,Not published,https://www.linkedin.com/company/tech-mahindra,IT Services / BPO / Telecom,100000+ (global),7,5,Not confirmed,Yes,Yes,2026-06-11,https://chandigarhupdates.com/list-of-companies-in-quark-city-mohali/
Infosys BPM (Chandigarh),"Plot No. 22 & 23, Block A-B, Ground Floor, DLF Building, Rajiv Gandhi Chandigarh Technology Park, Kishangarh, Chandigarh",https://www.google.com/maps/search/?api=1&query=Plot+22+23+DLF+Building+Rajiv+Gandhi+Chandigarh+Technology+Park+Kishangarh+Chandigarh,https://www.infosysbpm.com/,https://career.infosysbpm.com/,Not published,Not published,https://www.linkedin.com/company/infosysbpm,IT/BPM Services,100000+ (global),8,5,Not confirmed,Yes,Yes,2026-06-11,https://www.brandveda.in/blog/it-companies-in-chandigarh
Sebiz Infotech,"Sebiz Square, Sector 67, SAS Nagar, Mohali, Punjab",https://www.google.com/maps/search/?api=1&query=Sebiz+Square+Sector+67+SAS+Nagar+Mohali,Not confirmed - search "Sebiz Infotech",Not confirmed,Not published,Not published,Not confirmed - search linkedin.com/company/sebiz-infotech,Web Development / Digital Marketing / E-learning,200-500,6,4,Yes,Yes,Not confirmed,2026-06-11,https://360digitmg.com/blog/what-are-the-best-it-companies-in-mohali
Vismaad Labs,"Mohali, Punjab (exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=Vismaad+Labs+Mohali,Not confirmed - search "Vismaad Labs",Not confirmed,Not published,Not published,Not confirmed,Web & Mobile App Development / Digital Agency,50-200,6,4,Yes,Yes,Not confirmed,2026-06-11,https://360digitmg.com/blog/what-are-the-best-it-companies-in-mohali
Webguruz Technologies,"Mohali, Punjab (exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=Webguruz+Technologies+Mohali,Not confirmed - search "Webguruz Technologies",Not confirmed,Not published,Not published,Not confirmed,Web/Mobile Development / Digital Marketing,50-200,6,4,Yes,Yes,Not confirmed,2026-06-11,https://360digitmg.com/blog/what-are-the-best-it-companies-in-mohali
RV Technologies,"Mohali, Punjab (exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=RV+Technologies+Mohali,Not confirmed - search "RV Technologies Mohali",Not confirmed,Not published,Not published,Not confirmed,Software / Web / Mobile / E-commerce Development,50-200,6,4,Yes,Yes,Not confirmed,2026-06-11,https://360digitmg.com/blog/what-are-the-best-it-companies-in-mohali
NetSet Software Solutions,"Mohali, Punjab (exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=NetSet+Software+Solutions+Mohali,Not confirmed - search "NetSet Software Solutions",Not confirmed,Not published,Not published,https://www.linkedin.com/company/netsetsoftware,Custom Software / Cloud Computing,50-200,6,5,Yes,Yes,Not confirmed,2026-06-11,https://360digitmg.com/blog/what-are-the-best-it-companies-in-mohali
Code Brew Labs,"Mohali, Punjab (exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=Code+Brew+Labs+Mohali,Not confirmed - search "Code Brew Labs",Not confirmed,Not published,Not published,Not confirmed,Mobile App Development,200-500,6,5,Yes,Yes,Not confirmed,2026-06-11,https://360digitmg.com/blog/what-are-the-best-it-companies-in-mohali
Debut Infotech,"Mohali, Punjab (exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=Debut+Infotech+Mohali,Not confirmed - search "Debut Infotech",Not confirmed,Not published,Not published,Not confirmed,Web Dev / Blockchain / Enterprise Software,200-500,6,6,Yes,Yes,Not confirmed,2026-06-11,https://360digitmg.com/blog/what-are-the-best-it-companies-in-mohali
Mindfire Solutions,"Mohali/Chandigarh, Punjab (exact address not confirmed; HQ Bhubaneswar)",https://www.google.com/maps/search/?api=1&query=Mindfire+Solutions+Mohali+Chandigarh,Not confirmed - search "Mindfire Solutions",Not confirmed,Not published,Not published,https://www.linkedin.com/company/mindfire-solutions,Offshore Software Development,500-1000,6,5,Yes,Yes,Not confirmed,2026-06-11,https://360digitmg.com/blog/what-are-the-best-it-companies-in-mohali
PTC India,"Rajiv Gandhi Chandigarh Technology Park, Chandigarh (exact unit not confirmed)",https://www.google.com/maps/search/?api=1&query=PTC+Rajiv+Gandhi+Chandigarh+Technology+Park,https://www.ptc.com/,https://www.ptc.com/en/careers,Not published,Not published,https://www.linkedin.com/company/ptc,Product Development Software / IoT / AR,10000+ (global),6,6,Not confirmed,Yes,Yes,2026-06-11,https://360digitmg.com/blog/what-are-the-best-it-companies-in-mohali

Seasia Infotech,"C-136, Industrial Area, Phase 8, Mohali, Punjab",https://www.google.com/maps/search/?api=1&query=C-136+Industrial+Area+Phase+8+Mohali,https://www.seasiainfotech.com/,https://www.seasiainfotech.com/careers (verify path),Not published,Not published,https://in.linkedin.com/company/seasia-infotech,IT Consulting / Software Solutions (CMMI Level 5),1000+ (multiple global offices: Australia/Canada/US/UK/Ghana),8,6,Yes,Yes,Yes (typical for CMMI-5 firms - verify),2026-06-11,https://www.justdial.com/jdmart/Chandigarh/Seasia-Infotech-NEAR-VODAFONE-OFFICE-Industrial-Area-Phase-7/0172PX172-X172-170922203558-G7V1_BZDET/catalogue
TaskUs (Mohali),"Airport Road, Sector 82, Mohali, Punjab",https://www.google.com/maps/search/?api=1&query=TaskUs+Airport+Road+Sector+82+Mohali,https://www.taskus.com/locations/india/mohali/,https://www.taskus.com/careers/,Not published,Not published,https://www.linkedin.com/company/taskus,BPO / Technical Support / Customer Experience,1000+ (large global BPO),8,3,Not confirmed,Not confirmed,Yes (entry-level hiring common at BPOs),2026-06-11,https://www.taskus.com/locations/india/mohali/
Connecting The Dots,"Chandigarh & Mohali (multiple BPO sites; exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=Connecting+The+Dots+BPO+Chandigarh+Mohali,Not confirmed - search "Connecting The Dots BPO",Not confirmed,Not published,Not published,Not confirmed,BPO / Call Centre (Inbound, Email, Chat, Tech Support),200-1000,9,2,Not confirmed,Not confirmed,Not confirmed,2026-06-11,https://www.naukri.com/job-listings-bpo-call-centre-hiring-salary-upto-33-k-in-chandigarh-mohali-connecting-the-dots-mohali-chandigarh-panchkula-0-to-5-years-041119000221
Pyramid Global Technologies,"Mohali, Punjab (exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=Pyramid+Global+Technologies+Mohali,https://www.pyramidglobaltechnologies.com/,https://www.pyramidglobaltechnologies.com/current-openings.html,Not published,Not published,Not confirmed - search linkedin.com/company/pyramid-global-technologies,Managed IT Services / Power BI & Data roles,200-500,7,6,Not confirmed,Yes,Not confirmed,2026-06-11,https://www.pyramidglobaltechnologies.com/current-openings.html
Webdew,"World Tech Tower, C-203, Sector 74, SAS Nagar, Mohali, Punjab 160055",https://www.google.com/maps/search/?api=1&query=World+Tech+Tower+C-203+Sector+74+SAS+Nagar+Mohali,https://www.webdew.com/,https://careers.webdew.com/,Not published,Not published,https://www.linkedin.com/company/webdew,Digital Marketing Agency / Web Dev,50-200,6,4,Yes,Yes,Yes (careers blog actively posts hiring content),2026-06-11,https://careers.webdew.com/blogs/top-it-companies-in-chandigarh/
Net Gains Pvt Ltd,"Rajiv Gandhi IT Park, Chandigarh (exact plot not confirmed)",https://www.google.com/maps/search/?api=1&query=Net+Gains+Rajiv+Gandhi+IT+Park+Chandigarh,Not confirmed - search "Net Gains Chandigarh",Not confirmed,Not published,Not published,Not confirmed,Business Consulting IT Services (BFSI focus),200-500,6,5,Not confirmed,Yes,Not confirmed,2026-06-11,https://www.brandveda.in/blog/it-companies-in-chandigarh
Omninos Technologies,"Mohali/Tricity, Punjab (exact address not confirmed)",https://www.google.com/maps/search/?api=1&query=Omninos+Technologies+Mohali,Not confirmed - search "Omninos Technologies",Not confirmed,Not published,Not published,Not confirmed,Mobile App Development,50-200,6,4,Yes,Yes,Not confirmed,2026-06-11,https://kharar.punjabonline.in/software-companies/34738
Weavebytes,"SCO 48-49, Above Dominos Pizza, Sector 127, Kharar, Punjab 140301",https://www.google.com/maps/search/?api=1&query=SCO+48-49+Above+Dominos+Pizza+Sector+127+Kharar,Not confirmed - search "Weavebytes",Not confirmed,Not published,Not published,Not confirmed,Software Development (small/local),11-50,7,4,Not confirmed,Not confirmed,Not confirmed,2026-06-11,https://kharar.punjabonline.in/software-companies/34738

Wits Innovation Lab,"SCO 73-B, 1st Floor, City Heart, Mohali, Punjab 140301",https://www.google.com/maps/search/?api=1&query=SCO+73-B+1st+Floor+City+Heart+Mohali,https://www.thewitslab.com/,https://www.thewitslab.com/careers (verify path),info@thewitslab.com,Not published,https://in.linkedin.com/company/thewitslab,Digital Transformation / IoT / BI / Custom Software,500-1000 (600+ engineers per Wellfound),8,6,Not confirmed,Yes,Yes (CS/AI fresher positions found),2026-06-11,https://www.glassdoor.co.in/Location/WITS-Innovation-Lab-Mohali-Location-EI_IE5911867.0,19_IL.20,26_IC4469455.htm
Drish Infotech,"SCO 104-106, 4th Floor, Sub City Center, Sector 34A, Chandigarh 160034",https://www.google.com/maps/search/?api=1&query=SCO+104-106+4th+Floor+Sub+City+Center+Sector+34A+Chandigarh,Not confirmed - search "Drish Infotech",Not confirmed,Not published,Not published,Not confirmed,Software Development / IT Services,50-200,6,4,Not confirmed,Yes,Not confirmed,2026-06-11,https://yellowpages.webindia123.com/local-dpy/Chandigarh/Chandigarh/Sector-34/160022/IT-Companies-577/1/
ThinkNEXT Technologies,"SCO 112-113, 1st Floor, Sector 34A, Chandigarh 160022",https://www.google.com/maps/search/?api=1&query=SCO+112-113+1st+Floor+Sector+34A+Chandigarh,https://www.thinknext.co.in/,Not confirmed,Not published,Not published,Not confirmed - search linkedin.com/company/thinknext-technologies,IT Services + Training Institute (verify which division is hiring vs. selling courses),50-200,6,5,Not confirmed,Yes,"Yes - but primarily known as a paid training institute, see Deliverable 10b for fee caveats",2026-06-11,https://yellowpages.webindia123.com/local-dpy/Chandigarh/Chandigarh/Sector-34/160022/IT-Companies-577/1/
Ink Web Solutions,"SCO 58-59, 3rd Floor, Sector 34-A, Chandigarh",https://www.google.com/maps/search/?api=1&query=SCO+58-59+3rd+Floor+Sector+34A+Chandigarh,Not confirmed - search "Ink Web Solutions Chandigarh",Not confirmed,Not published,Not published,Not confirmed,Web Development,11-50,6,3,Not confirmed,Yes,Not confirmed,2026-06-11,https://yellowpages.webindia123.com/local-dpy/Chandigarh/Chandigarh/Sector-34/160022/IT-Companies-577/1/
CS Soft Solutions,"SCO 2451, Sector 22-C, Chandigarh 160022 (also listed at 217/6 Acme Height Extension 2, Sector 117, SAS Nagar - verify which is current)",https://www.google.com/maps/search/?api=1&query=SCO+2451+Sector+22C+Chandigarh,Not confirmed - search "CS Soft Solutions Chandigarh",Not confirmed,Not published,Not published,Not confirmed,IT Services (founded 2009),50-200,6,4,Not confirmed,Yes,Not confirmed,2026-06-11,"https://yellowpages.webindia123.com/local-dpy/Chandigarh/Chandigarh/Sector-34/160022/IT-Companies-577/1/ ; https://www.justdial.com/Mohali/Software-Companies-in-Mohali-Sector-91/nct-10443565/page-2"
TCIL IT,"SCO 301718, 2nd Floor, Opp. Kisan Bhavan (Bijwara Market), Sector-22D, Chandigarh 160022",https://www.google.com/maps/search/?api=1&query=SCO+301718+Sector+22D+Chandigarh+opposite+Kisan+Bhavan,Not confirmed - search "TCIL IT Chandigarh",Not confirmed,Not published,Not published,Not confirmed,IT Services,50-200,5,3,Not confirmed,Yes,Not confirmed,2026-06-11,https://yellowpages.webindia123.com/local-dpy/Chandigarh/Chandigarh/Sector-34/160022/IT-Companies-577/1/
JewelnMe Private Limited,"Mohali, Punjab (exact address not confirmed - small startup, formed Aug 2021)",https://www.google.com/maps/search/?api=1&query=JewelnMe+Private+Limited+Mohali,Not confirmed - search "JewelnMe Mohali",Not confirmed,Not published,Not published,Not confirmed,Fintech / Payments Startup,11-50,5,3,Not confirmed,Not confirmed,Not confirmed,2026-06-11,https://wellfound.com/startups/location/chandigarh

Trigma,"Plot No. 228, JLPL Industrial Estate, Sector 82, SAS Nagar, Mohali, Punjab",https://www.google.com/maps/search/?api=1&query=Plot+No+228+JLPL+Industrial+Estate+Sector+82+Mohali,https://trigma.com/,https://trigma.com/careers/,Not published - use careers page form,Not published,https://www.linkedin.com/company/trigma,AI Development / Custom Software & App Development,200-500 (200+ professionals),7,7,Yes,Yes,Not confirmed,2026-06-11,https://trigma.com/contact-us/
Relinns Technologies,"303, C-184, STPI Building, 3rd Floor, Sector 75 (Phase 8A Industrial Area), SAS Nagar, Mohali, Punjab 160055",https://www.google.com/maps/search/?api=1&query=C-184+STPI+Building+Sector+75+Phase+8A+Industrial+Area+Mohali,https://relinns.com/,https://careers.relinns.com/,hr@relinns.com,+91 70090 75311,https://in.linkedin.com/company/relinns-technologies,Software Development / AI-ML / Mobile & Web Dev,100-250,8,7,Yes,Yes,Yes (paid internships incl. AI/ML, video editing),2026-06-11,https://careers.relinns.com/
Bits in Glass,"Plot No. C-212, Ground Floor, Phase 8-B, Industrial Area, Sector 74, SAS Nagar, Mohali, Punjab 160055",https://www.google.com/maps/search/?api=1&query=Plot+C-212+Phase+8B+Industrial+Area+Sector+74+Mohali,https://bitsinglass.com/,https://bitsinglass.com/careers/,Not published - use careers page form,Not published,https://www.linkedin.com/company/bits-in-glass,Digital Transformation / Low-Code (Appian, Salesforce) Consulting,250-500 (global, India delivery center in Mohali),6,5,Not confirmed,Yes,Not confirmed,2026-06-11,https://bitsinglass.com/contact-us/
Code Garage Tech,"Cabin Number 2, D-185, Near Industrial Area, SAS Nagar, Mohali, Punjab 160055",https://www.google.com/maps/search/?api=1&query=D-185+Near+Industrial+Area+SAS+Nagar+Mohali,Not confirmed - search "Code Garage Tech Mohali",Not published - email CV directly,hr@codegaragetech.com,8288983623,https://in.linkedin.com/company/codegarage-tech,Open Source / Ruby on Rails Web Development,11-50,7,4,Not confirmed,Yes,Not confirmed,2026-06-11,https://www.justdial.com/Mohali/Code-Garage-Tech-Near-Industrial-Area-Mohali-Sas-Nagar/0172PX172-X172-180531193857-R1U1_BZDET
Tech Arch Softwares Pvt Ltd,"Twin Tower, Plot No. 7, 6th Floor, IT Park, Sector 22, Panchkula, Haryana",https://www.google.com/maps/search/?api=1&query=Twin+Tower+Plot+7+6th+Floor+IT+Park+Sector+22+Panchkula,Not confirmed - search "Tech Arch Softwares Panchkula",Not confirmed,Not published,Not published,Not confirmed - search linkedin.com/company/tech-arch-softwares,IT Services / Software Development,51-200,7,5,Not confirmed,Yes,Not confirmed,2026-06-11,https://7knetwork.com/it-companies-in-panchkula/
Netqom Software,"Twin Tower, Plot No. 7, 6th Floor, IT Park, Sector 22, Panchkula, Haryana",https://www.google.com/maps/search/?api=1&query=Twin+Tower+Plot+7+6th+Floor+IT+Park+Sector+22+Panchkula,Not confirmed - search "Netqom Software Panchkula",Not confirmed,Not published,Not published,Not confirmed - search linkedin.com/company/netqom-software,IT Services / Software Development (offers ~3-4.5 LPA to freshers per source),51-200,7,5,Not confirmed,Yes,Not confirmed,2026-06-11,https://7knetwork.com/it-companies-in-panchkula/
SB Innovations,"HSIDC, Plot No. 09, Ground Floor, DLF Square, Sector 22, IT Park Road, Panchkula, Haryana",https://www.google.com/maps/search/?api=1&query=HSIDC+Plot+9+DLF+Square+Sector+22+IT+Park+Road+Panchkula,Not confirmed - search "SB Innovations Panchkula",Not confirmed,Not published,Not published,Not confirmed - search linkedin.com/company/sb-innovations,IT Services / Software Development (offers ~2.5-4 LPA to freshers per source),11-50,6,4,Not confirmed,Yes,Not confirmed,2026-06-11,https://7knetwork.com/it-companies-in-panchkula/

Nagarro,"Room No. 11, W2L, 2nd Floor, Magnet Cowork, Godrej Eternia, Industrial Area Phase 1, Chandigarh 160002",https://www.google.com/maps/search/?api=1&query=Magnet+Cowork+Godrej+Eternia+Industrial+Area+Phase+1+Chandigarh,https://www.nagarro.com/,https://www.nagarro.com/en/careers/job-search,Not published - use careers page form,Not published,https://www.linkedin.com/company/nagarro,IT Services / Digital Product Engineering,17000+ globally (Chandigarh is a smaller hub office),6,6,Yes,Yes,Not confirmed,2026-06-11,https://www.glassdoor.co.in/Location/All-Nagarro-Office-Locations-E240077.htm
Grazitti Interactive,"Chandigarh / Panchkula (exact street address not confirmed in search - check careers page)",https://www.google.com/maps/search/?api=1&query=Grazitti+Interactive+Chandigarh+Panchkula,https://www.grazitti.com/,https://www.grazitti.com/company/careers/job-listing/,Not published - use careers page form,Not published,https://www.linkedin.com/company/grazitti-interactive,Digital Marketing / Salesforce & Marketing Tech Consulting,500-1000,7,5,Yes,Yes,Yes (regularly posts fresher PHP/QA roles),2026-06-11,https://www.naukri.com/grazitti-interactive-jobs-careers-911276
Safaltek,"SCO 66-67, 2nd Floor, 17A, Sector 17, Chandigarh 160017",https://www.google.com/maps/search/?api=1&query=SCO+66-67+2nd+Floor+17A+Sector+17+Chandigarh,Not confirmed - search "Safaltek Chandigarh",Not confirmed,Not published,Not published,Not confirmed - search linkedin.com/company/safaltek,IT Services / Web & Software Development,51-200,6,4,Not confirmed,Yes,Not confirmed,2026-06-11,https://careers.webdew.com/blogs/top-it-companies-in-chandigarh/
Multi Dimension Web Solutions Pvt Ltd,"SCO 89-D, City Heart, Janta Nagar, Kharar, SAS Nagar, Punjab 140301",https://www.google.com/maps/search/?api=1&query=SCO+89-D+City+Heart+Janta+Nagar+Kharar,https://www.multidimensionwebsolutions.com/,Not confirmed - use contact form,Not published,+91 9915308533 / +91 9915380033,https://in.linkedin.com/company/multidimensionwebsolutions,Web Design / Development / Digital Marketing / SAP,11-50,5,3,Not confirmed,Yes,Not confirmed,2026-06-11,https://www.indiamart.com/multi-dimension-web-solutions/aboutus.html
